"id";"state";"trial";"b";"varh";"evh";"evl";"varl";"xh";"yh";"xl";"yl";"pxh";"pyh";"pxl";"pyl";"start";"ntrials";"utility";"adrisky";"criterion"
38;2;2;6;5.76;1.8;1.8;0.16;9;1;2;1;0.1;0.9;0.8;0.2;0;3;0.266535520523399;-0.47;"best"
1176;2;2;6;7.29;1.9;1.9;0.09;10;1;2;1;0.1;0.9;0.9;0.1;0;3;0.266173498686494;-0.63;"best"
1216;8;2;26;5.76;8.2;8.2;0.36;9;1;10;8;0.9;0.1;0.1;0.9;0;3;0.309526865938272;0.62;"best"
470;6;2;21;7.84;6.6;6.6;1.44;8;1;9;6;0.8;0.2;0.2;0.8;0;3;0.28254533604603;0.28;"best"
1176;2;2;6;7.29;1.9;1.9;0.09;10;1;2;1;0.1;0.9;0.9;0.1;0;3;0.266173498686494;-0.63;"difficulty"
940;10;2;17;17.01;3.7;3.7;0.81;10;1;4;1;0.3;0.7;0.9;0.1;0;3;0.248958300020845;-0.33;"difficulty"
1216;8;2;26;5.76;8.2;8.2;0.36;9;1;10;8;0.9;0.1;0.1;0.9;0;3;0.309526865938272;0.62;"difficulty"
470;6;2;21;7.84;6.6;6.6;1.44;8;1;9;6;0.8;0.2;0.2;0.8;0;3;0.28254533604603;0.28;"difficulty"
1133;5;2;15;7.84;4.4;4.4;1.44;10;3;5;2;0.2;0.8;0.8;0.2;0;3;0.237303085866076;-0.32;"outcomes & difficulty"
617;9;2;14;10.24;2.6;2.6;0.24;9;1;3;2;0.2;0.8;0.6;0.4;0;3;0.200999018782073;-0.48;"outcomes & difficulty"
1216;8;2;26;5.76;8.2;8.2;0.36;9;1;10;8;0.9;0.1;0.1;0.9;0;3;0.309526865938272;0.62;"outcomes & difficulty"
470;6;2;21;7.84;6.6;6.6;1.44;8;1;9;6;0.8;0.2;0.2;0.8;0;3;0.28254533604603;0.28;"outcomes & difficulty"
